,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
251067900015,000244506300023,000165384000018,000228960000002,000241994800002,000181736400012,000231224600011,000178082200003,000239004700018,000236424100003,000166140200019,,,,,,,,,,,,,,,,,,,,
251906900008,000202234500017,000238394700007,000238394700008,000239790000002,000248585400017,000221578000018,000166570900003,A1997VZ21000011,000201539400010,A1991GX28300002,000229312900024,000231268900006,,,,,,,,,,,,,,,,,,
256153800016,000234944700009,A1997XW54200003,000236714000001,000221411000001,000180520100048,000166132800001,A1997XD44400011,000240076700011,000235253300003,A1992JF87200009,000224636600001,A1996UP57400002,A1996TU31400017,000173336900003,000251801500016,000235173800011,,,,,,,,,,,,,,
256539800020,000172846900001,A1993LT34600009,000082771000005,000165384000018,000245668300027,000236767000001,000088214400018,000188412100008,000089669700001,000173361700001,000173918200002,000182655100003,000241282700023,A1993MY93500008,000241994800006,000236424100003,000236016700031,,,,,,,,,,,,,
257513100018,A1981LK04700029,000077013300041,000237147500021,000237954800015,000241414500071,000087789400018,000183726400010,000088508500026,000241992000006,000236648600003,000237314200023,000228876400006,000223142000016,000185732500010,000236736700043,000185924500033,000184529700002,000185963200044,000240107400001,000244171100006,000079728900026,000237314200022,000174516500007,000244572900001,000165165900012,000226492300034,000186885600012,000183815300013,000221107900045,000232376600029
262636800009,000256642100004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268062400003,A1982PW51300004,A1982QC08600001,A1982NL32300028,A1983QN77100006,A1953UC11200020,A1978ER76900001,,,,,,,,,,,,,,,,,,,,,,,,
270824200005,000236329800001,000174574100007,A19679181500004,000187957900015,000200604300007,A1996UR25400004,000236326900001,000167886700001,000074957800014,,,,,,,,,,,,,,,,,,,,,
275955400009,000241634000007,000236331400001,000239583900008,INE:16566508,000241932400002,000250843500004,000233155100191,000222967700001,,,,,,,,,,,,,,,,,,,,,,
277186400002,000241537700021,000207567500002,000258646300008,000268113500004,000073685500003,000075434800003,000242953000010,000230216800020,000258646800001,000248921400005,000221411000001,000242362900010,000264022900008,A19657769800001,000261057600003,000076008800010,000232314300016,000169037600008,,,,,,,,,,,,
279925100014,A1985AXY8900004,A1996TP51600013,000071446700010,000077387400015,A1973P425500005,A1975W012300009,A1997XW54200003,000236329900001,000173336800003,000176010300004,,,,,,,,,,,,,,,,,,,,
281000500001,000239077800001,000251686000002,A1997XW54200003,000238485800001,000233938200001,,,,,,,,,,,,,,,,,,,,,,,,,
285246700005,A1974U921700011,000179241300002,000237516600004,000256842900005,000253111500009,000262517400011,000249798300001,000236767000001,000272455700032,000288914700002,000241504900005,000259788100008,000260116700001,000226322800003,000268293000020,000257733700003,000077680200012,000275205200011,000227227100005,000233515200011,000269189500003,000262465500020,000273875000001,000237516600003,000242790600009,,,,,
289972600023,000272623600059,000283548600039,000260674000039,000274582700036,000255504600008,000272797100008,000259205600007,000273395400034,000175445700010,000072838200007,000185876400009,000263209000025,000277357100030,000287693800020,000269482200004,000269196000022,000273344600021,000278043700034,000268808600014,000267665900006,000260536100017,000224355400029,000268107100019,000266521500018,000276737100008,000281520400015,000269482200003,000278442600005,,
296902300013,000283647800031,000238602700017,000182058400066,000274144100022,000260674000039,A1986E405400064,000233921900021,A1992JW43500016,000173028800047,000265783600045,000268257000031,000264714000009,000293013000008,000075107600017,000224355400014,A1977CU37400015,000280766100029,000294852400023,000264059700048,000277452700031,000235265500003,A1988L952200007,000177774200014,000277534300007,000236997600002,A1975AR67200001,000236534100001,000275827900006,000265024400037,A1995RY05400029
298103200003,000262636800009,000275203200001,000263384400004,000301758400003,000271800100014,000277186500012,000282522400001,,,,,,,,,,,,,,,,,,,,,,,
302097000018,000072248600008,000236330100012,000174986900007,A1995RX35400003,A1997BH93C00022,000249623600008,000268756800012,000083121200061,000174519400014,000236215200005,000233350300029,000087732100024,000238865200004,000285805800014,000260066100047,000253663800015,000249908400047,000242602300047,A1994NP14100013,,,,,,,,,,,
304612300002,A1986D125000002,000241537700021,A1974U921700011,000282000900021,000297496301054,000297280100009,000296798200017,000240881000018,000227130000005,000089193700012,000247642400015,000086499800016,000268525500017,000224602600009,000252151700002,000258494500025,000287764200008,,,,,,,,,,,,,
310531500030,A1965CLA3900011,A1985AFZ2900007,000180281100002,000262637100002,A1982PF14100002,000085870000001,A1993LD68000034,000264103000004,000226335700004,000273587100005,000236330700003,A1974T735400009,000178037200001,000171018900008,000261607600002,000260517100003,,,,,,,,,,,,,,
